customer,monthly_demand,actual_cost_per_unit,actual_avg_lead_time,actual_monthly_cost,optimized_monthly_cost,monthly_savings,savings_pct
CUST0001,1385.7787586206896,146.3777666495204,15.600804865502738,202847.19975724135,125590.37999999999,77256.81975724136,38.1
CUST0002,1092.0099310344826,48.28865491686825,5.884575509733901,52731.690725517234,9143.85,43587.840725517235,82.7
CUST0003,1385.6110344827584,212.04749825994855,22.858707822666062,293815.3534234482,138774.69,155040.66342344822,52.8
CUST0004,1251.3478620689655,126.95592031632209,16.637771001574908,158866.01946482758,85496.38,73369.63946482757,46.2
CUST0005,1452.407172413793,125.75616230729254,13.090911715457013,182649.15211034476,20053.739999999998,162595.41211034477,89.0
CUST0006,1434.5445517241378,90.26783438559568,14.42552320823103,129493.23001379306,26703.67,102789.56001379306,79.4
CUST0007,1117.4201379310343,114.0243840294195,11.608878381928028,127413.14292965517,33459.659999999996,93953.48292965518,73.7
CUST0008,1501.1310344827584,124.06485530726258,14.113603351955307,186237.60459034482,32199.190000000002,154038.41459034482,82.7
CUST0009,1131.1315862068964,133.18546671115067,16.20733244365362,150650.28822068966,86918.91,63731.37822068966,42.3
CUST0010,1337.8935172413792,164.11116651518475,19.034005077255774,219563.2657875862,110424.15000000001,109139.11578758618,49.7
CUST0011,1228.8728275862068,96.77735626300883,11.905039751595183,118927.06343724135,10966.369999999999,107960.69343724135,90.8
CUST0012,1398.4838620689654,207.72884084912448,23.767750059966417,290505.4316137931,143673.94,146831.49161379307,50.5
CUST0013,1563.063172413793,54.80178286879309,6.864688682029133,85658.64858482758,12331.640000000001,73327.00858482758,85.6
CUST0014,1297.9332413793102,107.50120630613168,12.904083478710344,139529.38915310343,41390.020000000004,98139.36915310343,70.3
CUST0015,1006.1351724137929,83.23758949781205,11.769326943113148,83748.26646068964,14442.39,69305.87646068964,82.8
CUST0016,1205.349517241379,109.02635601474988,13.303276977666458,131414.8655889655,22775.75,108639.1155889655,82.7
CUST0017,1259.1470344827585,208.2160038629325,22.89620033967165,262174.563795862,136453.08,125721.48379586203,48.0
CUST0018,1353.6595862068964,92.96155097109934,11.46879162407459,125838.29462068964,22109.33,103728.96462068964,82.4
CUST0019,1087.062068965517,99.04713519768563,11.360424300867889,107670.38371310342,22156.329999999998,85514.05371310342,79.4
CUST0020,1161.070344827586,96.85062838569883,12.915565185987722,112450.39249655172,16989.73,95460.66249655173,84.9
CUST0021,1390.9782068965515,106.92252735658519,13.32571669731408,148726.90537931034,24673.3,124053.60537931033,83.4
CUST0022,1190.5478620689653,183.7542503433945,20.49441763815025,218768.22989241374,107379.51000000001,111388.71989241373,50.9
CUST0023,1349.0891034482756,125.27590601106482,14.989308137005034,169008.35972413787,39106.46,129901.89972413788,76.9
CUST0024,1187.9900689655171,102.08997882253283,13.695679796696314,121281.88098206896,38724.829999999994,82557.05098206896,68.1
CUST0025,1331.310344827586,86.2456390551181,11.175653543307087,114819.7114703448,16905.010000000002,97914.7014703448,85.3
CUST0026,1194.3635862068963,101.66356164864486,13.210574357534055,121423.25607724137,14070.439999999999,107352.81607724137,88.4
CUST0027,1619.2507586206896,93.99308646451045,12.321620011911852,152198.3765627586,28790.96,123407.41656275862,81.1
CUST0028,1223.799172413793,129.09227540601657,16.50637291852258,157983.0198068965,38249.74,119733.27980689652,75.8
CUST0029,1590.8634482758619,109.93044570374275,13.64978914074855,174884.3279227586,41234.37,133649.9579227586,76.4
CUST0030,1392.823172413793,116.57373031881265,13.58768100671343,162366.5928827586,25002.84,137363.7528827586,84.6
