supplier_node_id,supplier_name,supplier_country,esg_score,composite_outcome_risk,high_risk_label,predicted_risk_probability,top_risk_driver,cancellation_rate,late_shipment_rate,payment_overdue_rate,sanctions_ever
SUP0034,Koch-Decker,India,69.9,0.7947577170867262,1,0.8754861,price_deviation_pct,0.13043478260869565,0.25,0.12173913043478261,1.0
SUP0040,"Santos, Kim and Holmes",Turkey,71.1,0.5507779647080183,1,0.8728389,price_deviation_pct,0.1076923076923077,0.13924050632911392,0.09230769230769231,1.0
SUP0014,"Flowers, Martin and Kelly",United States,46.7,0.5353886501128028,1,0.827464,price_deviation_pct,0.1,0.15,0.16,0.0
SUP0009,Munoz-Roman,United States,66.0,0.5446441968514656,1,0.7828669,price_deviation_pct,0.125,0.18309859154929578,0.044642857142857144,1.0
SUP0029,Chavez Ltd,Poland,66.3,0.5629867140046172,1,0.76138455,price_deviation_pct,0.11764705882352941,0.1935483870967742,0.12941176470588237,0.0
SUP0007,Ramirez-Lewis,South Korea,49.8,0.6385731747015979,1,0.7138014,esg_score,0.1792452830188679,0.18292682926829268,0.12264150943396226,0.0
SUP0010,"Martinez, Nielsen and Miller",Egypt,43.6,0.6086778657580169,1,0.709343,price_deviation_pct,0.08762886597938144,0.22972972972972974,0.07731958762886598,1.0
SUP0006,Blake and Sons,China,58.0,0.540863288621086,1,0.6754856,avg_lead_time_days,0.11842105263157894,0.1728395061728395,0.13157894736842105,0.0
SUP0025,Conner Group,Bangladesh,77.2,0.5881915707671176,1,0.5896017,avg_country_risk_index,0.08275862068965517,0.2125,0.08275862068965517,1.0
SUP0011,"Montgomery, Hensley and Ray",Indonesia,56.0,0.6851216777166216,1,0.55974233,price_deviation_pct,0.11940298507462686,0.23157894736842105,0.16417910447761194,0.0
SUP0021,"Ellis, Baker and Wright",India,80.5,0.5431108050264672,1,0.5153014,avg_lead_time_days,0.08333333333333333,0.28,0.08974358974358974,0.0
SUP0022,Burgess-Patterson,Pakistan,79.0,0.5703139365702443,1,0.50731313,avg_lead_time_days,0.08823529411764706,0.18421052631578946,0.08823529411764706,1.0
SUP0033,"Sellers, George and Burns",China,78.7,0.4623954539493177,0,0.4533128,price_deviation_pct,0.1323529411764706,0.22535211267605634,0.04411764705882353,0.0
SUP0008,Davis Inc,Pakistan,69.7,0.4895661121693742,0,0.37879303,avg_lead_time_days,0.04945054945054945,0.1728395061728395,0.08791208791208792,1.0
SUP0028,"Potter, Mack and Peterson",Germany,88.1,0.47749114579289537,0,0.31948218,avg_lead_time_days,0.125,0.1728395061728395,0.09375,0.0
SUP0020,Lewis-Porter,Pakistan,59.2,0.4250297065982961,0,0.22303648,price_deviation_pct,0.04424778761061947,0.15625,0.07079646017699115,1.0
SUP0015,"Zuniga, Wong and Lynch",India,76.1,0.3563779333421673,0,0.21311073,esg_score,0.0703125,0.18518518518518517,0.0703125,0.0
SUP0017,"Hawkins, Cohen and Cameron",Nigeria,42.8,0.3765292814907084,0,0.189767,price_deviation_pct,0.10077519379844961,0.15151515151515152,0.07751937984496124,0.0
SUP0038,Rose-Obrien,South Africa,61.5,0.3966066299920896,0,0.18271866,avg_lead_time_days,0.0641025641025641,0.21333333333333335,0.07692307692307693,0.0
SUP0031,Harrell LLC,Brazil,87.2,0.47901333026016113,0,0.17315355,avg_lead_time_days,0.1095890410958904,0.24050632911392406,0.06164383561643835,0.0
SUP0019,Clark PLC,Germany,69.9,0.294623225642721,0,0.13811924,price_deviation_pct,0.05641025641025641,0.14666666666666667,0.07692307692307693,0.0
SUP0032,"Lynch, Hernandez and Farmer",Vietnam,57.2,0.5023362363795738,0,0.12558144,avg_lead_time_days,0.06944444444444445,0.27631578947368424,0.08333333333333333,0.0
SUP0003,Johnson-Davis,Vietnam,88.7,0.38678231467374,0,0.123805985,avg_lead_time_days,0.14814814814814814,0.15942028985507245,0.037037037037037035,0.0
SUP0037,"Cannon, Anderson and Alvarez",United States,65.1,0.396554305364801,0,0.12026841,avg_lead_time_days,0.06666666666666667,0.15384615384615385,0.11515151515151516,0.0
SUP0035,Allen PLC,Brazil,54.5,0.5211706355939026,0,0.11423013,avg_lead_time_days,0.08391608391608392,0.2714285714285714,0.08391608391608392,0.0
SUP0026,James-Ferrell,Egypt,85.3,0.5121241744495382,0,0.10609872,price_deviation_pct,0.06878306878306878,0.1780821917808219,0.07936507936507936,1.0
SUP0013,Delacruz Group,Germany,77.3,0.20703382530415504,0,0.09073731,price_deviation_pct,0.03529411764705882,0.14285714285714285,0.052941176470588235,0.0
